created_at,query,statuses_count,followers_count,friends_count,user_location,full_text,cleaned,class
Wed Feb 16 21:03:56 +0000 2022,Arsenal,10807,266,2208,England,@Arsenal_Editor Liverpool when they defend and press like that they do it bcoz they mean it. With arsenal players just do it for the sake of it. That’s the difference. Did you watch how Real Madrid defended with a goal in mind to really actually defend,liverpool defend press like bcoz mean player sake difference watch real madrid defended goal mind really actually defend,0
Wed Feb 16 21:03:47 +0000 2022,Arsenal,16748,305,603,England,"@DestinyTheGame That new form, being a new gun in my arsenal. 

Behold, a Big F-ing Gun that shoots a slow moving ball of energy, with invisible tracers that damages targets only in the view of the player and has detonated on either a surface or enemy.

Sorry, you only get one ammo. Lol",new form new gun behold big gun shoot slow moving ball energy invisible tracer damage target view player detonated either surface enemy sorry get one ammo lol,-1
Wed Feb 16 21:03:26 +0000 2022,Arsenal,2699,180,362,England,"@gaygooners @Arsenal Happy birthday to you GG, keep up the good work. From a straight ally.",happy birthday keep good work straight ally,1
Wed Feb 16 21:02:49 +0000 2022,Arsenal,67509,3763,1107,England,Against Arsenal in the semi final what worked so well was Firmino dropping deep and Jota making them inside runs from the left. Jota Firmino Salah should be our front in the final too uno,semi final worked well firmino dropping deep jota making inside run left jota firmino salah front final uno,1
Wed Feb 16 21:02:44 +0000 2022,Arsenal,97809,1194,1099,England,"@DrHeadgear @1Jabz_ @edwardavern Yes, because after when Liverpool were still banned and Arsenal weren't they still didn't win.

Stop making lame excuses for constant European failure ;)",yes liverpool still banned still win stop making lame excuse constant european failure,-1
Wed Feb 16 21:02:31 +0000 2022,Arsenal,935,11,113,England,"@Flav_Bateman @BarrieSmith91 @sportbible @SpursOfficial @ChelseaFC @LFC @ManCity @Arsenal You absolutely bossed him Flav.. how can he say Chelsea, Liverpool and Manchester City is a bigger game for Arsenal than against Spurs. 🤣Arsenal fans are an odd bunch 🤔",absolutely bossed flav say chelsea liverpool manchester city bigger game spur fan odd bunch,0
Wed Feb 16 21:02:20 +0000 2022,Arsenal,6281,942,952,Nigeria,"@Omojuwa The tone in which he said is the problem,Arsenal fans are dissing Henry because he has always been negative towards the Team, For someone who failed woefully at Monaco,his constant berating of the team has been uncalled For,It's quite obvious to the blind what Arteta is building",tone said problem fan dissing henry always negative towards team someone failed woefully monaco constant berating team uncalled quite obvious blind arteta building,-1
Wed Feb 16 21:02:04 +0000 2022,Arsenal,48,4,99,Nigeria,@DC_tune @ruffydfire These are sensitive information that can't and never be revealed for security reasons. American will never publish the actual numbers of their nuclear arsenal. This source is not authentic,sensitive information never revealed security reason american never publish actual number nuclear source authentic,-1
Wed Feb 16 21:01:34 +0000 2022,Arsenal,62296,4024,3342,England,I'm commentating on #LFC v #NCFC for @talksportlive on Saturday. Just reminiscing about when I did the same game &amp; Luis Suarez hit 4. He was absolutely insane. I *think* I'd have him over Thierry Henry at his best. Most talented PL player ever? #Arsenal #LIVNOR,commentating saturday reminiscing game amp luis suarez hit absolutely insane think thierry henry best talented player ever,1
Wed Feb 16 21:01:30 +0000 2022,Arsenal,1,0,13,England,@TheSpursExpress @SkySport Levy wants what arsenal have i see...but the flaw lies in the academy..arsenal have saka esr patino martinelli from the academy..at Tottenham the academy is dead,levy want see flaw lie academy saka esr patino martinelli academy tottenham academy dead,-1
